journal_id,journal_title,publication_count
695,Sustainability (Switzerland),338
772,PLoS ONE,245
689,International Journal of Environmental Research and Public Health,233
76209,Public Health Nutrition,188
12110,Science of the Total Environment,167
12102,Journal of the Academy of Nutrition and Dietetics,152
614,Applied Economic Perspectives and Policy,137
76536,Nutrients,130
513,Frontiers in Sustainable Food Systems,120
611,Agronomy Journal,116
76530,Nutrients,114
12186,Journal of Rural Studies,112
712,International Journal of Environmental Research and Public Health,106
77198,Journal of Cleaner Production,105
204640,"Journal of Agriculture, Food Systems, and Community Development",104
12138,Journal of Nutrition Education and Behavior,102
12179,Food Policy,99
77048,Weed Technology,98
200193,Appetite,96
12119,American Journal of Preventive Medicine,94
76054,Journal of Environmental Management,94
1027,Journal of Hunger and Environmental Nutrition,93
76813,Journal of Hunger and Environmental Nutrition,90
306,HortScience,89
954,Agriculture and Human Values,89
76205,Journal of Agricultural and Applied Economics,89
76357,Land Use Policy,89
76211,Renewable Agriculture and Food Systems,86
304,Plant Disease,85
77180,Agricultural Systems,85
318,Agronomy Journal,79
751,Journal of Economic Entomology,78
432,Journal of Agricultural and Resource Economics,75
613,American Journal of Agricultural Economics,74
307,HortTechnology,73
76195,BMJ Open,72
77173,Journal of Dairy Science,72
76109,American Journal of Public Health,70
699,Agronomy,68
76144,BMC Public Health,68
741,Scientific Reports,67
389,Journal of Rural Health,64
77132,Agricultural Water Management,64
12075,Preventive Medicine,63
317,Transactions of the ASABE,62
76091,JAMA Network Open,62
748,American Journal of Agricultural Economics,59
822,Rural Sociology,58
12151,Preventive Medicine Reports,58
492,Journal of Extension,57
682,Agronomy,57
717,Remote Sensing,55
76200,Agricultural and Resource Economics Review,55
511,Frontiers in Public Health,54
860,Journal of Soil and Water Conservation,54
591,Acta Horticulturae,53
77263,Frontiers in Plant Science,52
76888,Environmental Science and Technology,50
861,Journal of Soil and Water Conservation,49
1055,Journal of Agromedicine,49
76448,Journal of Rural Health,49
77133,"Agriculture, Ecosystems and Environment",49
12192,Social Science and Medicine,48
473,Agricultural Finance Review,47
681,Agriculture (Switzerland),47
77140,Ecological Economics,47
416,Preventing Chronic Disease,46
698,Agriculture (Switzerland),46
204565,Global Food Security,46
359,Agricultural Economics (United Kingdom),45
612,"Agrosystems, Geosciences and Environment",44
722,Water (Switzerland),44
665,Pest Management Science,43
77187,Crop Protection,43
202864,Journal of Nutrition,43
651,Agronomy Journal,42
721,Sustainability (Switzerland),42
77194,Food Control,42
571,Environmental Research Letters,41
75944,Journal of Rural Health,41
691,Land,40
77561,Applied Economic Perspectives and Policy,40
346,BMC Public Health,39
12167,Applied Geography,39
202668,Foods,39
12109,"Resources, Conservation and Recycling",38
76072,Pediatrics,38
78047,International Food and Agribusiness Management Review,38
598,Environmental Research Letters,37
12114,Academic Pediatrics,37
749,European Review of Agricultural Economics,36
76473,Journal of Health Care for the Poor and Underserved,36
203680,Journal of the American Medical Informatics Association,36
76419,Journal of Food Protection,35
76550,Proceedings of the National Academy of Sciences of the United States of America,35
76601,Health Affairs,34
366,Canadian Journal of Agricultural Economics,33
817,Society and Natural Resources,33
76621,Journal of American College Health,33
737,Scientific Reports,32
76667,Health Promotion Practice,32
