"journal_title","scopus_yes","oa_yes","dim_yes"
"African Journal of Food Agriculture Nutrition and Development",1,0,0
"Agribusiness",0,0,1
"Agricultural and Resource Economics Review",0,1,0
"American Economic Journal Economic Policy",0,1,0
"American Journal of Agricultural Economics",0,1,1
"American Journal of Health Promotion",1,0,1
"American Journal of Preventive Medicine",1,0,1
"American Journal of Public Health",1,1,0
"Animals",0,1,0
"Applied Economic Perspectives and Policy",1,0,1
"Contemporary Clinical Trials",1,0,1
"European Review of Agricultural Economics",0,1,0
"Food Policy",1,0,1
"Frontiers in Nutrition",1,1,1
"Frontiers in Sustainable Food Systems",1,1,0
"International Journal of Behavioral Nutrition and Physical Activity",1,0,0
"International Journal of Environmental Research and Public Health",1,0,1
"Journal of Health Economics",1,0,1
"Journal of International Economics",1,0,1
"Journal of Nutrition Education and Behavior",1,0,1
"Journal of Soil and Water Conservation",0,1,0
"Journal of the Academy of Nutrition and Dietetics",1,0,0
"PLOS Medicine",0,0,1
"PLoS Medicine",1,1,1
"Public Health Nutrition",1,1,1
"Resources Conservation and Recycling",1,0,1
"Review of Economics of the Household",1,0,0
"SSRN Electronic Journal",0,1,0
